#marque,modele,reference fournisseur,reference sap,designation taille mL mL,nombre produit par carton,prix achat,prix vente,code barre
HUGO BOSS,BOSS JOUR LUMINEUSE,82451601,82451601,BOSS JOUR LUMINEUSE EDP VAPO 30 mL,42,43.2,54,737052938738
HUGO BOSS,BOSS JOUR LUMINEUSE,82443612,82443612,BOSS JOUR LUMINEUSE EDP VAPO 75 mL,24,76.8,96,737052796727
HUGO BOSS,HUGO DARK BLUE,81075713,81075713,HUGO DARK BLUE EDT 75 mL,27,29.896,37.37,737052031415
HUGO BOSS,BOSS MA VIE FLORALE,82464565,82464565,BOSS MA VIE FLORALE EDP VAPO 30 mL,tbc,44.8,56,8005610276236
HUGO BOSS,BOSS MA VIE FLORALE,82464567,82464567,BOSS MA VIE FLORALE EDP VAPO 50 mL,tbc,61.6,77,8005610276281
HUGO BOSS,BOSS MA VIE FLORALE,82464569,82464569,BOSS MA VIE FLORALE EDP VAPO 75 mL,tbc,79.2,99,8005610276335
HUGO BOSS,BOSS BOTTLED TONIC,82463670,82463670,BOSS BOTTLED TONIC EDT 50 mL,tbc,52.8,66,8005610255613
HUGO BOSS,BOSS BOTTLED TONIC,82462024,82462024,BOSS BOTTLED TONIC EDT 100 mL,tbc,69.6,87,8005610255668
HUGO BOSS,HUGO ICED,82463307,82463307,HUGO ICED EDT VAPO 75ML 75 mL,25,45.6,57,8005610261973
HUGO BOSS,HUGO ICED,82463308,82463308,HUGO ICED EDT VAPO 125ML 125 mL,16,63.2,79,8005610262000
HUGO BOSS,HUGO ICED,82463682,82463682,HUGO ICED DEO STICK 75 mL,16,19.6,24.5,8005610262185
LACOSTE,L.12.12 MAGNETIC FOR HIM AND HER,82463506,82463506,LACOSTE L.12.12 ELLE MAGNETIC EDP 45 mL,42,47.2,59,8005610266435
LACOSTE,L.12.12 MAGNETIC FOR HIM AND HER,82463507,82463507,LACOSTE L.12.12 ELLE MAGNETIC EDP 80 mL,20,64,80,8005610266473
LACOSTE,L.12.12 MAGNETIC FOR HIM AND HER,82463515,82463515,LACOSTE L.12.12 MAGNETIC EDT 50 mL,36,44,55,8005610266794
LACOSTE,L.12.12 MAGNETIC FOR HIM AND HER,82463516,82463516,LACOSTE L.12.12 MAGNETIC EDT 100 mL,12,60,75,8005610266831
LACOSTE,RED,82451338,82451338,LACOSTE RED EDT VAPO 50 mL,12,19.904,24.88,737052064710
HUGO BOSS,BOSS THE SCENT FOR HER,82459891,82459891,BOSS THE SCENT FOR HER EDP VAPO 30 mL,30,47.2,59,730870196809
HUGO BOSS,BOSS THE SCENT FOR HER,82465000,82459892,BOSS THE SCENT FOR HER EDP VAPO 50 mL,25,64,80,8005610298894
HUGO BOSS,BOSS THE SCENT FOR HER,82459893,82459893,BOSS THE SCENT FOR HER EDP VAPO 100 mL,16,92,115,730870196885
